contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"547809685,MNQ,FOP,20220531,14550,C,2,GLOBEX,,USD,MQEK2 C1455,MQE,False,,combo:",2022-04-18 13:55:47.000,BOT,1,215.5,,1650308147.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 14:03:45.000,SLD,1,13928.0,,1650308625.0,3,9,0.25,0,4,0.0,3,5,0.375,,,,400.08000000000004,133.36,-1853.3799999999997,-205.93111111111108,0.6475952044372985,0.6069451994681722,0.0,66.68,0.0,-60.59777777777778,1.1003703839524737,0.4761065037101702
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 14:56:36.000,BOT,2,13890.75,234.72,1650311796.0,4,9,0.3076923076923077,0,4,0.0,4,5,0.4444444444444444,-1218.58,58.68,-286.65999999999997,634.8000000000001,158.70000000000002,-1853.3799999999997,-205.93111111111108,0.7706460628689208,0.564765607859389,258.72,64.68,0.0,-60.59777777777778,1.0673658733360227,0.4837073170731707
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 15:10:51.000,SLD,2,13965.0,,1650312651.0,4,9,0.3076923076923077,0,4,0.0,4,5,0.4444444444444444,,,,634.8000000000001,158.70000000000002,-1853.3799999999997,-205.93111111111108,0.7706460628689208,0.564765607859389,0.0,64.68,0.0,-60.59777777777778,1.0673658733360227,0.4837073170731707
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 04:26:33.000,BOT,2,13840.0,497.72,1650360393.0,5,9,0.35714285714285715,0,4,0.0,5,5,0.5,-720.8599999999999,124.43,-162.22999999999996,1132.52,226.504,-1853.3799999999997,-205.93111111111108,1.099901801033787,0.47621274457105445,383.15000000000003,76.63000000000001,0.0,-60.59777777777778,1.264567824269317,0.441585360916562
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 08:43:12.000,SLD,2,13912.0,,1650375792.0,5,9,0.35714285714285715,0,4,0.0,5,5,0.5,,,,1132.52,226.504,-1853.3799999999997,-205.93111111111108,1.099901801033787,0.47621274457105445,0.0,76.63000000000001,0.0,-60.59777777777778,1.264567824269317,0.441585360916562
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 08:52:14.000,BOT,2,13963.0,-206.28,1650376334.0,5,10,0.3333333333333333,0,4,0.0,5,6,0.45454545454545453,-927.1399999999999,-51.57,-213.79999999999995,1132.52,226.504,-2059.66,-205.96599999999998,1.09971548702213,0.47625500034684487,0.0,76.63000000000001,-596.95,-59.69500000000001,1.2836921015160399,0.4378874014304053
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 08:55:34.000,SLD,2,13992.0,,1650376534.0,5,10,0.3333333333333333,0,4,0.0,5,6,0.45454545454545453,,,,1132.52,226.504,-2059.66,-205.96599999999998,1.09971548702213,0.47625500034684487,0.0,76.63000000000001,0.0,-59.69500000000001,1.2836921015160399,0.4378874014304053
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 09:01:05.000,BOT,2,14021.875,-121.78,1650376865.0,5,11,0.3125,0,4,0.0,5,7,0.4166666666666667,-1048.9199999999998,-30.445,-244.24499999999995,1132.52,226.504,-2181.44,-198.31272727272727,1.1421556403109872,0.4668194883611842,0.0,76.63000000000001,-627.3950000000001,-57.0359090909091,1.3435395564197992,0.42670498019145436
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 09:03:29.000,BOT,1,14020.75,,1650377009.0,5,11,0.3125,0,4,0.0,5,7,0.4166666666666667,,,,1132.52,226.504,-2181.44,-198.31272727272727,1.1421556403109872,0.4668194883611842,0.0,76.63000000000001,0.0,-57.0359090909091,1.3435395564197992,0.42670498019145436
"547809685,MNQ,FOP,20220531,14550,C,2,GLOBEX,,USD,MQEK2 C1455,MQE,False,,combo:",2022-04-19 09:05:05.000,SLD,1,230.0,24.56,1650377105.0,1,0,1.0,1,0,1.0,0,0,,24.56,12.28,12.28,24.56,24.56,,,,,12.28,12.28,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 09:08:16.000,BOT,1,14035.0,,1650377296.0,5,11,0.3125,0,4,0.0,5,7,0.4166666666666667,,,,1132.52,226.504,-2181.44,-198.31272727272727,1.1421556403109872,0.4668194883611842,0.0,76.63000000000001,0.0,-57.0359090909091,1.3435395564197992,0.42670498019145436
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 09:16:18.000,SLD,2,14053.75,101.22,1650377778.0,6,11,0.35294117647058826,1,4,0.2,5,7,0.4166666666666667,-947.6999999999998,25.305,-218.93999999999994,1233.74,205.62333333333333,-2181.44,-198.31272727272727,1.0368640286538555,0.49095078804101155,408.45500000000004,68.07583333333334,0.0,-57.0359090909091,1.1935609411402173,0.4558797438653326
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 09:20:04.000,BOT,2,14082.0,,1650378004.0,6,11,0.35294117647058826,1,4,0.2,5,7,0.4166666666666667,,,,1233.74,205.62333333333333,-2181.44,-198.31272727272727,1.0368640286538555,0.49095078804101155,0.0,68.07583333333334,0.0,-57.0359090909091,1.1935609411402173,0.4558797438653326
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 10:19:30.000,SLD,2,14133.25,202.72,1650381570.0,7,11,0.3888888888888889,2,4,0.3333333333333333,5,7,0.4166666666666667,-744.9799999999998,50.68,-168.25999999999993,1436.46,205.20857142857145,-2181.44,-198.31272727272727,1.0347725748653578,0.49145541489626704,459.13500000000005,65.5907142857143,0.0,-57.0359090909091,1.1499898104748318,0.46511848341232226
"542601598,MNQ,FOP,20220429,13750,P,2,GLOBEX,,USD,MQEJ2 P1375,MQE,False,,combo:",2022-04-19 10:27:56.000,BOT,1,134.0,,1650382076.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 10:30:06.000,BOT,2,14165.25,,1650382206.0,7,11,0.3888888888888889,2,4,0.3333333333333333,5,7,0.4166666666666667,,,,1436.46,205.20857142857145,-2181.44,-198.31272727272727,1.0347725748653578,0.49145541489626704,0.0,65.5907142857143,0.0,-57.0359090909091,1.1499898104748318,0.46511848341232226
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-19 10:57:37.000,SLD,2,14177.75,47.72,1650383857.0,8,11,0.42105263157894735,3,4,0.42857142857142855,5,7,0.4166666666666667,-697.2599999999998,11.93,-156.32999999999993,1484.18,185.5225,-2181.44,-198.31272727272727,0.9355047583247763,0.5166610909629191,471.06500000000005,58.88312500000001,0.0,-57.0359090909091,1.0323868934243976,0.4920323011506367
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-19 10:58:06.000,SLD,1,250.0,159.06,1650383886.0,2,2,0.5,2,2,0.5,0,0,,122.24000000000001,79.53,61.120000000000005,214.62,107.31,-92.38,-46.19,2.3232301363931587,0.30091205211726385,107.31,53.655,0.0,-23.095,2.3232301363931587,0.30091205211726385
"547809685,MNQ,FOP,20220531,14550,C,2,GLOBEX,,USD,MQEK2 C1455,MQE,False,,combo:",2022-04-19 10:59:10.000,SLD,1,279.5,123.56,1650383950.0,2,0,1.0,2,0,1.0,0,0,,148.12,61.78,74.06,148.12,74.06,,,,,74.06,37.03,0.0,,,
"547809967,MNQ,FOP,20220531,14700,C,2,GLOBEX,,USD,MQEK2 C1470,MQE,False,,combo:",2022-04-19 11:28:12.000,BOT,1,217.0,,1650385692.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542601598,MNQ,FOP,20220429,13750,P,2,GLOBEX,,USD,MQEJ2 P1375,MQE,False,,combo:",2022-04-19 11:29:44.000,SLD,1,130.0,-8.94,1650385784.0,0,1,0.0,0,1,0.0,0,0,,-8.94,-4.47,-4.47,,,-8.94,-8.94,,,0.0,,-4.47,-4.47,,
