date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,local_min,local_max,price_times_volume,vwap
2022-02-24 19:07:00,13875.0,13878.75,13869.25,13876.5,1645751220,943,2022-02-24 19:07:00,2022-02-25,13885.284210265743,9.5,10.149703595070863,3.764203975991107,,,13085539.5,13881.523627561428
2022-02-24 19:08:00,13877.0,13888.5,13873.5,13888.0,1645751280,1075,2022-02-24 19:08:00,2022-02-25,13885.32909935226,15.0,11.031575668694343,5.079803253083632,,,14929600.0,13881.62791150522
2022-02-24 19:09:00,13887.5,13897.25,13886.5,13897.0,1645751340,1182,2022-02-24 19:09:00,2022-02-25,13885.522006800984,10.75,10.9803800925681,5.883475388886608,,,16426254.0,13881.895338739827
2022-02-24 19:10:00,13897.0,13899.0,13880.75,13881.75,1645751400,628,2022-02-24 19:10:00,2022-02-25,13885.459659581133,18.25,12.302129166646626,7.586479863634498,,,8717739.0,13881.89400767088
2022-02-24 19:11:00,13881.5,13901.5,13880.25,13897.25,1645751460,712,2022-02-24 19:11:00,2022-02-25,13885.654541240949,21.25,13.929014772710875,9.070756252064589,,13901.5,9894842.0,13882.051816462914
2022-02-24 19:12:00,13897.25,13898.75,13890.0,13890.75,1645751520,446,2022-02-24 19:12:00,2022-02-25,13885.738763699776,8.75,12.98737572312708,8.603346024416481,,,6195274.5,13882.10745170589
2022-02-24 19:13:00,13891.25,13894.0,13887.75,13889.5,1645751580,559,2022-02-24 19:13:00,2022-02-25,13885.800932894821,6.25,11.762398318922155,7.357283110886212,,,7764230.5,13882.16624459367
2022-02-24 19:14:00,13889.75,13891.25,13885.5,13888.5,1645751640,407,2022-02-24 19:14:00,2022-02-25,13885.845545574246,5.75,10.669234988209036,6.246867999815992,,,5652619.5,13882.202708819577
2022-02-24 19:15:00,13888.0,13892.0,13882.0,13891.25,1645751700,731,2022-02-24 19:15:00,2022-02-25,13885.934875399465,10.0,10.547555899443756,5.701982908940357,,,10154503.75,13882.295302130877
2022-02-24 19:16:00,13891.25,13897.0,13888.75,13895.75,1645751760,468,2022-02-24 19:16:00,2022-02-25,13886.097108863936,8.25,10.129818463181255,5.483440561860292,,,6503211.0,13882.382886610843
2022-02-24 19:17:00,13895.75,13896.5,13889.5,13894.25,1645751820,294,2022-02-24 19:17:00,2022-02-25,13886.23186739511,7.0,9.560760560784663,4.759178641522057,,,4084909.5,13882.431217792431
2022-02-24 19:18:00,13894.0,13895.0,13889.5,13892.5,1645751880,352,2022-02-24 19:18:00,2022-02-25,13886.335472892712,5.5,8.822440458823815,4.166600706699865,,,4890160.0,13882.480076509511
2022-02-24 19:19:00,13891.75,13894.75,13888.5,13894.0,1645751940,500,2022-02-24 19:19:00,2022-02-25,13886.462159291179,6.25,8.35472401176494,3.818127850936253,,,6947000.0,13882.5589368839
2022-02-24 19:20:00,13894.25,13908.0,13894.0,13902.25,1645752000,995,2022-02-24 19:20:00,2022-02-25,13886.723115335953,14.0,9.381137827807677,4.578468241675116,,13908.0,13832738.75,13882.823576686702
2022-02-24 19:21:00,13902.5,13907.5,13898.75,13899.75,1645752060,587,2022-02-24 19:21:00,2022-02-25,13886.938435743623,8.75,9.266385495479009,4.246019470461459,,,8159153.25,13882.956725228485
2022-02-24 19:22:00,13899.5,13903.25,13893.75,13899.0,1645752120,542,2022-02-24 19:22:00,2022-02-25,13887.137800442075,9.5,9.30886085993737,3.564925021286648,,,7533258.0,13883.072411659838
2022-02-24 19:23:00,13899.0,13902.25,13893.5,13894.25,1645752180,375,2022-02-24 19:23:00,2022-02-25,13887.25535745956,8.75,9.207249794494212,3.7803931992345303,,,5210343.75,13883.127900819445
2022-02-24 19:24:00,13893.5,13894.0,13881.0,13882.0,1645752240,926,2022-02-24 19:24:00,2022-02-25,13887.168492047005,13.0,9.89684074094981,5.18395807210098,,,12854732.0,13883.114241809979
2022-02-24 19:25:00,13882.5,13886.25,13870.5,13876.75,1645752300,1314,2022-02-24 19:25:00,2022-02-25,13886.99628556689,15.75,10.961051515322572,5.2868747862644385,,,18234049.5,13883.006724180048
2022-02-24 19:26:00,13876.25,13876.5,13865.25,13874.0,1645752360,954,2022-02-24 19:26:00,2022-02-25,13886.78147092942,11.25,11.01358760344574,4.734715734216358,13865.25,,13235796.0,13882.897590590985
2022-02-24 19:27:00,13873.25,13886.0,13873.0,13880.5,1645752420,553,2022-02-24 19:27:00,2022-02-25,13886.677644963644,13.0,11.374753493728333,5.19204014617702,,,7675916.5,13882.880867996872
2022-02-24 19:28:00,13881.0,13882.25,13872.75,13875.0,1645752480,355,2022-02-24 19:28:00,2022-02-25,13886.484626038624,9.5,11.033889222141363,5.338941937781199,,,4925625.0,13882.84573900378
2022-02-24 19:29:00,13875.25,13881.25,13866.5,13872.0,1645752540,724,2022-02-24 19:29:00,2022-02-25,13886.2452107322,14.75,11.70954572720657,4.959134312730072,,,10043328.0,13882.748030859206
2022-02-24 19:30:00,13872.75,13888.5,13872.75,13881.25,1645752600,982,2022-02-24 19:30:00,2022-02-25,13886.162645265553,15.75,12.444173776805377,5.602928074051877,,,13631387.5,13882.7299470171
2022-02-24 19:31:00,13881.5,13882.75,13869.25,13875.0,1645752660,744,2022-02-24 19:31:00,2022-02-25,13885.978138732238,13.5,12.636142181022581,5.766032060587899,,,10323000.0,13882.659889634673
2022-02-24 19:32:00,13875.25,13882.0,13871.5,13879.25,1645752720,924,2022-02-24 19:32:00,2022-02-25,13885.866929827573,10.5,12.24775269356393,5.44493532229919,,,12824427.0,13882.621935794736
2022-02-24 19:33:00,13880.25,13880.25,13871.75,13874.75,1645752780,521,2022-02-24 19:33:00,2022-02-25,13885.683178921332,8.5,11.566343112915943,5.454947081881156,,,7228744.75,13882.572839853476
2022-02-24 19:34:00,13875.5,13881.25,13867.25,13877.75,1645752840,539,2022-02-24 19:34:00,2022-02-25,13885.552051997012,14.0,12.008826183294863,4.872229430630036,,,7480107.25,13882.541920903956
2022-02-24 19:35:00,13878.25,13883.75,13871.5,13872.0,1645752900,504,2022-02-24 19:35:00,2022-02-25,13885.328051137558,12.25,12.052675968150343,5.122733170515485,,,6991488.0,13882.479102377658
2022-02-24 19:36:00,13872.25,13873.5,13863.0,13866.75,1645752960,643,2022-02-24 19:36:00,2022-02-25,13885.020975912144,10.5,11.770371246668462,5.191327139512669,,,8916320.25,13882.360426298374
