date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_oc,local_min,local_max,price_times_volume,vwap
2022-02-23 07:20:00,14018.75,14024.5,14003.5,14005.75,1645622400,4382,2022-02-23 07:20:00,2022-02-23,13987.704414006344,14.230986380430934,8.289873627366886,,,61373196.5,13983.81321050093
2022-02-23 07:25:00,14006.0,14010.25,13998.25,14003.75,1645622700,3010,2022-02-23 07:25:00,2022-02-23,13987.96963030376,13.825352493079855,7.191714786027452,,,42151287.5,13983.983027429475
2022-02-23 07:30:00,14003.75,14007.5,13989.0,13990.25,1645623000,4234,2022-02-23 07:30:00,2022-02-23,13988.007322364854,14.675288403428972,8.33867573402246,,,59234718.5,13984.057225967736
2022-02-23 07:35:00,13989.75,14003.0,13986.25,13998.0,1645623300,4473,2022-02-23 07:35:00,2022-02-23,13988.172490590228,15.052508693714614,8.322552873291105,13986.25,,62613054.0,13984.229466894605
2022-02-23 07:40:00,13998.0,14000.0,13988.75,13995.5,1645623600,2881,2022-02-23 07:40:00,2022-02-23,13988.293606448242,14.361143476675593,7.263906896329086,,,40321035.5,13984.318434954394
2022-02-23 07:45:00,13995.25,14007.0,13995.25,14004.5,1645623900,2853,2022-02-23 07:45:00,2022-02-23,13988.561480721824,13.886390117280031,7.625014733360161,,,39954838.5,13984.47497349247
2022-02-23 07:50:00,14004.5,14016.0,13997.25,14014.25,1645624200,4493,2022-02-23 07:50:00,2022-02-23,13988.986084346257,14.770682823229116,8.011375690931041,,,62966025.25,13984.834292651612
2022-02-23 07:55:00,14014.75,14024.75,14012.5,14020.25,1645624500,4677,2022-02-23 07:55:00,2022-02-23,13989.502843282682,14.312376855369276,7.554761928943579,,,65572709.25,13985.273665747101
2022-02-23 08:00:00,14020.5,14023.75,14008.25,14017.0,1645624800,4765,2022-02-23 08:00:00,2022-02-23,13989.95734174082,14.528308336211227,6.817532487317473,,,66791005.0,13985.669668373695
2022-02-23 08:05:00,14017.0,14020.5,14007.5,14017.75,1645625100,2531,2022-02-23 08:05:00,2022-02-23,13990.416724521963,14.250434093263731,5.71434476235066,,,35478925.25,13985.880957151705
2022-02-23 08:10:00,14017.75,14021.75,14009.5,14014.25,1645625400,2767,2022-02-23 08:10:00,2022-02-23,13990.810662959617,13.886718803579416,5.3117366237414485,,,38777429.75,13986.083764368188
2022-02-23 08:15:00,14014.5,14026.75,14007.25,14007.75,1645625700,4400,2022-02-23 08:15:00,2022-02-23,13991.090652001607,14.907315384746795,5.5732390557884575,,,61634100.0,13986.327296635867
2022-02-23 08:20:00,14008.0,14015.0,13996.5,14013.0,1645626000,4914,2022-02-23 08:20:00,2022-02-23,13991.452789985051,15.560530769338287,5.469013772917829,,,68859882.0,13986.657974175449
2022-02-23 08:25:00,14012.5,14013.25,13989.5,13995.25,1645626300,5632,2022-02-23 08:25:00,2022-02-23,13991.51555378695,17.049525174913143,7.611011268750951,,,78821248.0,13986.778348329224
2022-02-23 08:30:00,13995.25,14026.0,13976.25,14010.0,1645626600,30485,2022-02-23 08:30:00,2022-02-23,13991.82108182353,22.99506605220166,8.909009219887142,,,427094850.0,13988.415199753055
2022-02-23 08:35:00,14010.0,14029.25,13962.0,14016.5,1645626900,33008,2022-02-23 08:35:00,2022-02-23,13992.228997826447,31.041417679074087,8.471007543544026,,,462656632.0,13990.406690662783
2022-02-23 08:40:00,14016.5,14031.25,13941.5,13953.25,1645627200,33059,2022-02-23 08:40:00,2022-02-23,13991.584716870639,41.71570537378789,18.43082435380875,,14031.25,461280491.75,13987.942824304835
2022-02-23 08:45:00,13953.25,13980.75,13946.75,13960.0,1645627500,28057,2022-02-23 08:45:00,2022-02-23,13991.06265543476,40.312849851281,16.307038107661704,,,391675720.0,13986.454066402333
2022-02-23 08:50:00,13959.75,13961.25,13893.75,13896.5,1645627800,33796,2022-02-23 08:50:00,2022-02-23,13989.499636336664,45.255968060139004,24.84212208808685,,,469646114.0,13981.029252110977
2022-02-23 08:55:00,13896.75,13926.25,13890.5,13904.0,1645628100,23464,2022-02-23 08:55:00,2022-02-23,13988.086419207133,43.52761023102282,21.643554435707422,,,326243456.0,13977.933664800948
2022-02-23 09:00:00,13903.75,13904.25,13843.25,13878.25,1645628400,34700,2022-02-23 09:00:00,2022-02-23,13986.27094120371,46.70440837083685,22.34472635648789,,,481575275.0,13972.341679491989
2022-02-23 09:05:00,13879.0,13881.25,13827.25,13842.5,1645628700,25721,2022-02-23 09:05:00,2022-02-23,13983.89456201026,48.03087957613924,24.918412473490093,,,356042942.5,13967.158201521366
2022-02-23 09:10:00,13842.5,13887.0,13839.0,13880.75,1645629000,22057,2022-02-23 09:10:00,2022-02-23,13982.189693216702,48.025265107750286,27.34233747831008,,,306167702.75,13964.297967197223
2022-02-23 09:15:00,13881.25,13882.75,13830.75,13844.75,1645629300,27244,2022-02-23 09:15:00,2022-02-23,13979.91796275031,48.74794417906842,29.007367027708245,,,377186369.0,13959.602160137834
2022-02-23 09:20:00,13845.75,13878.0,13823.75,13833.5,1645629600,25530,2022-02-23 09:20:00,2022-02-23,13977.497831134604,49.74831796469234,25.96057302267038,,,353169255.0,13955.125316011236
2022-02-23 09:25:00,13833.5,13839.5,13794.5,13804.5,1645629900,30357,2022-02-23 09:25:00,2022-02-23,13974.638362851387,48.88498742565737,26.513196109457585,,,419063206.5,13949.024351314316
