date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,price_times_volume,vwap
2022-03-09 23:50:00,13708.0,13713.5,13702.0,13709.0,1646891400,1727,2022-03-09 23:50:00,2022-03-10,,,,11.5,11.044531581257363,5.2530941300534115,1.0,6.3,0.0,,,23675443.0,13724.578808113387
2022-03-09 23:55:00,13709.0,13717.0,13705.0,13709.5,1646891700,2063,2022-03-09 23:55:00,2022-03-10,,,,12.0,11.218253111937843,4.388895197316428,0.5,4.8,-1.5,,13717.0,28282698.5,13724.330867818657
2022-03-10 00:00:00,13709.75,13714.25,13703.5,13707.25,1646892000,2130,2022-03-10 00:00:00,2022-03-10,,,,10.75,11.133116182494598,4.045459706895259,-2.5,3.35,-1.4499999999999997,,,29196442.5,13724.045727071805
2022-03-10 00:05:00,13707.75,13717.0,13704.0,13714.25,1646892300,2007,2022-03-10 00:05:00,2022-03-10,,,,13.0,11.472549603859218,4.49173976018703,6.5,4.05,0.6999999999999997,,13717.0,27524499.75,13723.894030524456
2022-03-10 00:10:00,13714.0,13715.0,13703.5,13711.0,1646892600,1315,2022-03-10 00:10:00,2022-03-10,,,,11.5,11.477540584975724,4.220514349243933,-3.0,2.7,-1.3499999999999996,,,18029965.0,13723.76451503254
2022-03-10 00:15:00,13711.25,13714.75,13706.5,13708.5,1646892900,984,2022-03-10 00:15:00,2022-03-10,,,,8.25,10.890715024071048,3.9531481039268543,-2.75,3.05,0.34999999999999964,,,13489164.0,13723.65063874147
2022-03-10 00:20:00,13707.75,13707.75,13696.0,13700.5,1646893200,1402,2022-03-10 00:20:00,2022-03-10,,,,11.75,11.04694865605813,4.552575721394699,-7.25,4.4,1.3500000000000005,,,19208101.0,13723.40715255585
2022-03-10 00:25:00,13701.0,13702.75,13689.75,13692.5,1646893500,1272,2022-03-10 00:25:00,2022-03-10,,,,13.0,11.402048900411197,5.270289226595662,-8.5,5.6,1.1999999999999993,,,17416860.0,13723.115016645117
2022-03-10 00:30:00,13692.75,13696.25,13682.0,13688.5,1646893800,1645,2022-03-10 00:30:00,2022-03-10,,,,14.25,11.919858191245524,5.08478209448736,-4.25,5.15,-0.4499999999999993,13682.0,,22517582.5,13722.6970007855
2022-03-10 00:35:00,13688.5,13713.0,13688.5,13706.25,1646894100,2632,2022-03-10 00:35:00,2022-03-10,,,,24.5,14.207156701928156,7.387548986398749,17.75,8.1,2.9499999999999993,,,36074850.0,13722.385238493061
2022-03-10 00:40:00,13705.75,13711.75,13703.5,13711.25,1646894400,969,2022-03-10 00:40:00,2022-03-10,,,,8.25,13.124037301577582,7.044358261598976,5.5,8.65,0.5500000000000007,,,13286201.25,13722.308067515376
2022-03-10 00:45:00,13711.75,13716.75,13697.0,13701.0,1646894700,1829,2022-03-10 00:45:00,2022-03-10,,,,19.75,14.32875779219984,7.718111304944617,-10.75,9.35,0.6999999999999993,,13716.75,25059129.0,13722.032933518769
2022-03-10 00:50:00,13701.25,13704.5,13697.0,13701.75,1646895000,792,2022-03-10 00:50:00,2022-03-10,,,,7.5,13.087165466345324,6.405727431318322,0.5,7.75,-1.5999999999999996,,,10851786.0,13721.92015641564
2022-03-10 00:55:00,13702.0,13710.5,13701.5,13706.5,1646895300,982,2022-03-10 00:55:00,2022-03-10,,,,9.0,12.344044472464356,6.059231534714991,4.5,7.8,0.04999999999999982,,,13459783.0,13721.814576462632
2022-03-10 01:00:00,13707.0,13714.5,13691.25,13693.0,1646895600,2455,2022-03-10 01:00:00,2022-03-10,,,,23.25,14.326945477470836,7.503007619312266,-14.0,7.05,-0.75,,,33616315.0,13721.329652175105
2022-03-10 01:05:00,13693.5,13697.5,13689.25,13692.75,1646895900,1731,2022-03-10 01:05:00,2022-03-10,,,,8.25,13.222046299748866,6.275188052164581,-0.75,6.1,-0.9500000000000002,,,23702150.25,13720.994500674078
2022-03-10 01:10:00,13692.25,13701.25,13683.0,13700.25,1646896200,2745,2022-03-10 01:10:00,2022-03-10,,,,18.25,14.136219699794527,6.588790224498293,8.0,5.55,-0.5499999999999998,13683.0,,37607186.25,13720.615770115859
2022-03-10 01:15:00,13700.0,13700.75,13685.25,13690.25,1646896500,2200,2022-03-10 01:15:00,2022-03-10,,,,15.5,14.38417975437734,7.163555638225876,-9.75,7.4,1.8500000000000005,,,30118550.0,13720.17786160966
