date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,vwap
2022-03-07 22:00:00,13306.25,13312.0,13265.5,13275.0,1646712000,16018,2022-03-07 22:00:00,2022-03-08,13813.912543339498,-423.4383431128256,-10.041234802319366,46.5,66.25700098031591,36.82797518733482,-31.25,46.8,-1.5,,,
2022-03-07 23:00:00,13275.0,13297.0,13201.0,13204.0,1646715600,27016,2022-03-07 23:00:00,2022-03-08,13803.831344276035,-437.5497832058824,-14.111440093056842,96.0,71.66481898389483,43.0410706078194,-71.0,48.3625,1.5625,,,
2022-03-08 00:00:00,13204.5,13227.25,13105.25,13155.0,1646719200,43747,2022-03-08 00:00:00,2022-03-08,13793.10685924668,-453.5943492891463,-16.044566083263874,122.0,80.81667007773214,44.21542140639769,-49.5,50.6125,2.25,13105.25,,
2022-03-08 01:00:00,13155.25,13218.75,13110.75,13161.25,1646722800,43889,2022-03-08 01:00:00,2022-03-08,13782.66294421781,-467.0198368834393,-13.425487594293031,108.0,85.75909369996266,37.267162968870835,6.0,50.1,-0.5124999999999957,,,
2022-03-08 02:00:00,13161.5,13373.25,13158.25,13313.25,1646726400,92917,2022-03-08 02:00:00,2022-03-08,13774.904052577846,-466.5905741389918,0.4292627444474988,215.0,109.25744029996946,58.082224247257955,151.75,54.525,4.424999999999997,,,
2022-03-08 03:00:00,13312.75,13379.0,13309.0,13351.5,1646730000,46721,2022-03-08 03:00:00,2022-03-08,13767.90563848565,-462.5757792867245,4.0147948522673005,70.0,102.11972388179319,54.56727438412015,38.75,53.5875,-0.9375,,,
2022-03-08 04:00:00,13351.5,13360.5,13284.25,13344.25,1646733600,38662,2022-03-08 04:00:00,2022-03-08,13760.903065948698,-458.90196221968245,3.67381706704208,76.25,97.41613772146715,45.964133587007396,-7.25,50.2125,-3.375,,,
2022-03-08 05:00:00,13344.75,13358.5,13301.5,13351.5,1646737200,30501,2022-03-08 05:00:00,2022-03-08,13754.1360731231,-454.4006910919559,4.501271127726568,57.0,90.06774904483676,38.83429111664241,6.75,44.8625,-5.350000000000001,,,
2022-03-08 06:00:00,13350.75,13422.5,13292.75,13308.25,1646740800,57778,2022-03-08 06:00:00,2022-03-08,13746.766055385528,-453.12992023544166,1.2707708565142184,129.75,97.28270376395734,39.500783640889246,-42.5,41.525,-3.3374999999999986,,,
2022-03-08 07:00:00,13308.0,13322.0,13230.25,13291.5,1646744400,72257,2022-03-08 07:00:00,2022-03-08,13739.240996618824,-452.6988063461123,0.43111388932936734,91.75,96.276757625056,35.31882297890938,-16.5,42.0,0.4750000000000014,,,
2022-03-08 08:00:00,13291.25,13373.75,13221.5,13252.25,1646748000,234134,2022-03-08 08:00:00,2022-03-08,13731.191558658182,-454.7982265310779,-2.099420184965595,152.25,106.45371078413673,35.98812789183495,-39.0,42.1,0.10000000000000142,,,
