contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,px_side_diff_sma_ratio,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 06:23:20.000,BOT,1,13858.0,,1650281000.0,15,8,0.6521739130434783,8,3,0.7272727272727273,7,5,0.5833333333333334,,,,,1409.4200000000003,93.96133333333336,-893.0399999999998,-111.62999999999998,0.841721162172654,0.5429703586727066,0.0,36.596666666666664,0.0,-22.43583333333333,1.6311703747724995,0.38005900704414236
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 07:13:39.999,SLD,1,13817.0,-269.42,1650284019.999,15,9,0.625,8,4,0.6666666666666666,7,5,0.5833333333333334,246.9600000000001,-134.71,234.75333333333342,20.56641221374046,1409.4200000000003,93.96133333333336,-1162.4599999999998,-129.1622222222222,0.727467611788793,0.5788820543874046,0.0,36.596666666666664,-314.19666666666666,-34.91074074074074,1.048292470745499,0.48821152949707364
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 07:13:40.000,SLD,3,13817.0,,1650284020.0,15,9,0.625,8,4,0.6666666666666666,7,5,0.5833333333333334,,,,,1409.4200000000003,93.96133333333336,-1162.4599999999998,-129.1622222222222,0.727467611788793,0.5788820543874046,0.0,36.596666666666664,0.0,-34.91074074074074,1.048292470745499,0.48821152949707364
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:23:25.000,BOT,1,13857.25,-81.64,1650288205.0,15,10,0.6,8,4,0.6666666666666666,7,6,0.5384615384615384,165.3200000000001,-40.82,193.93333333333342,6.860504201680672,1409.4200000000003,93.96133333333336,-1244.1,-124.41,0.755255472496852,0.5697176369303663,0.0,36.596666666666664,-355.01666666666665,-35.501666666666665,1.0308436223651471,0.4924062044892393
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:26:24.000,SLD,1,13847.0,,1650288384.0,15,10,0.6,8,4,0.6666666666666666,7,6,0.5384615384615384,,,,,1409.4200000000003,93.96133333333336,-1244.1,-124.41,0.755255472496852,0.5697176369303663,0.0,36.596666666666664,0.0,-35.501666666666665,1.0308436223651471,0.4924062044892393
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:34:44.999,BOT,3,13915.0,-137.14,1650288884.999,15,11,0.5769230769230769,8,4,0.6666666666666666,7,7,0.5,28.18000000000012,-22.856666666666666,171.07666666666677,1.4240913811007267,1409.4200000000003,93.96133333333336,-1381.2399999999998,-125.56727272727271,0.7482947689515704,0.571985924661713,0.0,36.596666666666664,-377.87333333333333,-34.35212121212121,1.0653393553395316,0.484181932337025
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:34:45.000,BOT,1,13915.0,,1650288885.0,15,11,0.5769230769230769,8,4,0.6666666666666666,7,7,0.5,,,,,1409.4200000000003,93.96133333333336,-1381.2399999999998,-125.56727272727271,0.7482947689515704,0.571985924661713,0.0,36.596666666666664,0.0,-34.35212121212121,1.0653393553395316,0.484181932337025
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:40:11.999,SLD,1,13880.0,-213.42,1650289211.999,15,12,0.5555555555555556,8,5,0.6153846153846154,7,7,0.5,-185.23999999999987,-106.71,64.36666666666677,4.6802631578947365,1409.4200000000003,93.96133333333336,-1594.6599999999999,-132.88833333333332,0.7070698456097227,0.5857991121873662,0.0,36.596666666666664,-484.5833333333333,-40.38194444444444,0.9062631126397248,0.524586555428456
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:40:12.000,SLD,2,13880.0,,1650289212.0,15,12,0.5555555555555556,8,5,0.6153846153846154,7,7,0.5,,,,,1409.4200000000003,93.96133333333336,-1594.6599999999999,-132.88833333333332,0.7070698456097227,0.5857991121873662,0.0,36.596666666666664,0.0,-40.38194444444444,0.9062631126397248,0.524586555428456
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:44:35.000,BOT,3,13910.0,,1650289475.0,15,12,0.5555555555555556,8,5,0.6153846153846154,7,7,0.5,,,,,1409.4200000000003,93.96133333333336,-1594.6599999999999,-132.88833333333332,0.7070698456097227,0.5857991121873662,0.0,36.596666666666664,0.0,-40.38194444444444,0.9062631126397248,0.524586555428456
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:53:09.999,SLD,1,13843.25,-404.91999999999996,1650289989.999,15,13,0.5357142857142857,8,6,0.5714285714285714,7,7,0.5,-590.1599999999999,-202.45999999999998,-138.0933333333332,6.366666666666666,1409.4200000000003,93.96133333333336,-1999.58,-153.81384615384616,0.6108769508263403,0.6207798798580019,0.0,36.596666666666664,-687.0433333333333,-52.84948717948718,0.6924696646984906,0.590852539846348
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:53:10.000,SLD,2,13843.25,,1650289990.0,15,13,0.5357142857142857,8,6,0.5714285714285714,7,7,0.5,,,,,1409.4200000000003,93.96133333333336,-1999.58,-153.81384615384616,0.6108769508263403,0.6207798798580019,0.0,36.596666666666664,0.0,-52.84948717948718,0.6924696646984906,0.590852539846348
